0	40	make this great a few	40	make this great a few 	0	-12.80340	-12.80340	0.00000	5	0.04073	0.04073
1	40	film of excellent quality that	40	film of excellent quality that 	0	-13.59308	-13.59308	0.00000	5	0.03343	0.03343
2	44	at its best although the	44	at its best although the 	0	-5.41844	-5.41844	0.00000	5	0.25805	0.25805
3	49	what the best of this	49	what the best of this 	0	-6.84265	-6.84265	0.00000	5	0.18075	0.18075
4	0	complete crap poor	46	      choice of 	46	-38.73625	-17.73020	21.00605	2	0.00006	0.01188
5	53	for this boring adventure in	53	for this boring adventure in 	0	-8.97198	-8.97198	0.00000	5	0.10614	0.10614
6	39	is utterly laughable and has	39	is utterly laughable and has 	0	-12.92983	-12.92983	0.00000	5	0.03946	0.03946
7	60	are mainly poor cgi and	60	are mainly poor cgi and 	0	-10.25046	-10.25046	0.00000	5	0.07710	0.07710
8	0	earned the best actor oscar	46	he the best actor oscar 	46	-48.81771	-12.38616	36.43155	4	0.00001	0.04521
9	38	it the best they can	38	it the best they can 	0	-2.78874	-2.78874	0.00000	5	0.49799	0.49799
10	40	out loud funny watching her	40	out loud funny watching her 	0	-9.46609	-9.46609	0.00000	5	0.09381	0.09381
11	41	of the best picture ever	41	of the best picture ever 	0	-4.79356	-4.79356	0.00000	5	0.30168	0.30168
12	40	lighting was terrible and i	40	lighting was terrible and i 	0	-0.86082	-0.86082	0.00000	5	0.80638	0.80638
13	42	good product unfortunately he will	42	good product unfortunately he will 	0	-7.45873	-7.45873	0.00000	5	0.15495	0.15495
14	39	she was wasted here one	39	she was wasted here one 	0	-9.22294	-9.22294	0.00000	5	0.09969	0.09969
15	0	scientific arguments avoid this film	0	          	0	-7.62342	-7.62342	0.00000	2	0.14870	0.14870
16	41	trying to mess with the	41	trying to mess with the 	0	-4.80498	-4.80498	0.00000	5	0.30082	0.30082
17	0	choppy and annoying he seems	40	is and annoying he seems 	40	-54.44883	-15.29169	39.15714	4	0.00000	0.02186
18	40	tries her best it has	40	tries her best it has 	0	-6.19205	-6.19205	0.00000	5	0.21267	0.21267
19	39	even that awful american werewolf	39	even that awful american werewolf 	0	-8.67393	-8.67393	0.00000	5	0.11435	0.11435
20	42	a truly funny farce like	42	a truly funny farce like 	0	-5.92216	-5.92216	0.00000	5	0.22751	0.22751
21	38	better and best of all	38	better and best of all 	0	-3.61787	-3.61787	0.00000	5	0.40476	0.40476
22	38	thing get worse and worse	38	thing get worse and worse 	0	-4.00900	-4.00900	0.00000	5	0.36705	0.36705
23	39	better and worse because it	39	better and worse because it 	0	-4.52149	-4.52149	0.00000	5	0.32291	0.32291
24	0	from hyper funny to honest	40	it from funny to honest 	40	-46.91574	-19.47045	27.44529	4	0.00001	0.00769
25	38	not a great movie in	38	not a great movie in 	0	-3.75076	-3.75076	0.00000	5	0.39153	0.39153
26	0	line unintentionally funny in stead	48	line unintentionally funny in you 	48	-41.60249	-17.33872	24.26377	4	0.00003	0.01311
27	0	for a solid socially critic	0	          	0	-7.97973	-7.97973	0.00000	1	0.13602	0.13602
28	42	not too bad but the	42	not too bad but the 	0	-5.26382	-5.26382	0.00000	5	0.26822	0.26822
29	39	certainly was great in comedy	39	certainly was great in comedy 	0	-12.57931	-12.57931	0.00000	5	0.04307	0.04307
30	0	controlled the best thing on	61	be the best thing on 	61	-76.96759	-8.22698	68.74061	4	0.00000	0.12787
31	0	assault with great ease and	14	      lack of 	14	-24.99696	-16.84450	8.15246	2	0.00193	0.01483
32	55	premise is stupid and it	55	premise is stupid and it 	0	-6.35588	-6.35588	0.00000	5	0.20414	0.20414
33	43	stupid than funny believe me	43	stupid than funny believe me 	0	-18.70498	-18.70498	0.00000	5	0.00931	0.00931
34	64	of the best hollywood director	64	of the best hollywood director 	0	-6.99964	-6.99964	0.00000	5	0.17379	0.17379
35	39	been very disappointing had very	39	been very disappointing had very 	0	-16.96387	-16.96387	0.00000	5	0.01439	0.01439
36	41	were completely annoying the entire	11	was the best part of 	-30	-11.64358	-4.99684	6.64674	1	0.05443	0.28673
37	40	i understand poor actor must	40	i understand poor actor must 	0	-14.39423	-14.39423	0.00000	5	0.02736	0.02736
38	41	as well best of all	41	as well best of all 	0	-5.90477	-5.90477	0.00000	5	0.22851	0.22851
39	38	for a surprisingly fun ride	38	for a surprisingly fun ride 	0	-10.35541	-10.35541	0.00000	5	0.07511	0.07511
40	73	at his best is the	73	at his best is the 	0	-7.72256	-7.72256	0.00000	5	0.14506	0.14506
41	50	not my favorite movie but	50	not my favorite movie but 	0	-6.51109	-6.51109	0.00000	5	0.19637	0.19637
42	39	it is funny that this	39	it is funny that this 	0	-6.96936	-6.96936	0.00000	5	0.17511	0.17511
43	64	give this 9/10 to be	64	this 9 10 to be 	0	-7.39067	-7.39067	0.00000	5	0.15760	0.15760
44	42	of the worst director in	42	of the worst director in 	0	-6.79057	-6.79057	0.00000	5	0.18311	0.18311
45	41	family struggle unfortunately the second	41	family struggle unfortunately the second 	0	-0.22922	-0.22922	0.00000	5	0.94431	0.94431
46	0	extra vicious worse still there	21	has the bad taste to 	21	-53.09372	-14.04599	39.04773	0	0.00000	0.02985
47	41	not a bad showing i	41	not a bad showing i 	0	-9.69646	-9.69646	0.00000	5	0.08856	0.08856
48	-1	interesting character excellent portrayal writing	0	          	1	-34.52677	-15.20887	19.31790	0	0.00018	0.02232
49	72	it an 8/10 but let's	72	an 8 10 but let's 	0	-5.01587	-5.01587	0.00000	5	0.28537	0.28537
50	40	makes a poor cameo and	40	makes a poor cameo and 	0	-6.62694	-6.62694	0.00000	5	0.19076	0.19076
51	-1	gut a solid and satisfying	58	even get a decent of 	59	-34.93420	-22.93168	12.00252	1	0.00016	0.00324
52	42	of the best the humorous	42	of the best the humorous 	0	-2.42541	-2.42541	0.00000	5	0.54534	0.54534
53	44	do their best with a	44	do their best with a 	0	-2.32750	-2.32750	0.00000	5	0.55885	0.55885
54	37	is very funny and her	37	is very funny and her 	0	-6.38098	-6.38098	0.00000	5	0.20286	0.20286
