0	40	make this great a few	40	make this great a few 	0	-16.40715	-16.40715	0.00000	5
1	40	film of excellent quality that	40	film of excellent quality that 	0	-11.66288	-11.66288	0.00000	5
2	44	at its best although the	44	at its best although the 	0	-4.78549	-4.78549	0.00000	5
3	49	what the best of this	49	what the best of this 	0	-7.69823	-7.69823	0.00000	5
4	0	complete crap poor	0	          	0	-16.82498	-16.82498	0.00000	2
5	53	for this boring adventure in	53	for this boring adventure in 	0	-17.91513	-17.91513	0.00000	5
6	39	is utterly laughable and has	39	is utterly laughable and has 	0	-11.30772	-11.30772	0.00000	5
7	60	are mainly poor cgi and	60	are mainly poor cgi and 	0	-6.95309	-6.95309	0.00000	5
8	0	earned the best actor oscar	46	he the best actor oscar 	46	-30.84243	-19.72124	11.12119	4
9	38	it the best they can	38	it the best they can 	0	-5.44499	-5.44499	0.00000	5
10	40	out loud funny watching her	40	out loud funny watching her 	0	-3.48958	-3.48958	0.00000	5
11	41	of the best picture ever	0	          	-41	-7.21116	-3.29654	3.91462	0
12	40	lighting was terrible and i	40	lighting was terrible and i 	0	-4.02712	-4.02712	0.00000	5
13	42	good product unfortunately he will	42	good product unfortunately he will 	0	-2.67318	-2.67318	0.00000	5
14	39	she was wasted here one	39	she was wasted here one 	0	-8.48369	-8.48369	0.00000	5
15	0	scientific arguments avoid this film	0	          	0	-9.06735	-9.06735	0.00000	2
16	41	trying to mess with the	41	trying to mess with the 	0	-5.48057	-5.48057	0.00000	5
17	0	choppy and annoying he seems	40	is and annoying he seems 	40	-23.72993	-20.15837	3.57156	4
18	40	tries her best it has	0	          	-40	-7.39576	-5.81275	1.58301	0
19	39	even that awful american werewolf	47	it is fun to watch 	8	-11.33522	-3.62251	7.71271	0
20	42	a truly funny farce like	42	a truly funny farce like 	0	-5.47421	-5.47421	0.00000	5
21	38	better and best of all	38	better and best of all 	0	-2.56242	-2.56242	0.00000	5
22	38	thing get worse and worse	38	thing get worse and worse 	0	-10.76200	-10.76200	0.00000	5
23	39	better and worse because it	39	better and worse because it 	0	-7.44901	-7.44901	0.00000	5
24	0	from hyper funny to honest	0	          	0	-10.52910	-10.52910	0.00000	1
25	38	not a great movie in	38	not a great movie in 	0	-5.91995	-5.91995	0.00000	5
26	0	line unintentionally funny in stead	0	          	0	-7.39716	-7.39716	0.00000	1
27	0	for a solid socially critic	0	          	0	-8.08678	-8.08678	0.00000	1
28	42	not too bad but the	42	not too bad but the 	0	-5.92656	-5.92656	0.00000	5
