epoch,loss,val_loss
0,6.401932702285831,4.34019372835441
1,4.153566811155167,4.204957340337053
2,4.048068694424528,4.152178579241918
3,3.9851787502755593,4.117184107816672
4,3.939457863192015,4.090902417017941
5,3.903451945711289,4.067996776556667
6,3.872387949424454,4.0490006475005975
7,3.8453765458698514,4.028101272220853
8,3.8143833216735583,3.996304514035897
9,3.775576301767856,3.9580186509884863
10,3.733779824735746,3.912880336182027
11,3.6854374076746685,3.8641883512086506
12,3.632472093598249,3.8135804103899607
13,3.5861821858691765,3.7771704237169352
14,3.547115293736196,3.7423596180944
15,3.5127394128952347,3.710662825701106
16,3.482244471457437,3.6857908244877424
17,3.4537967961548754,3.661695560825525
18,3.4271106418175035,3.637334069119224
19,3.4025251372454037,3.621766100452922
20,3.3798761458336553,3.599897497313938
21,3.3554464543419047,3.5817484815412435
22,3.331303292688941,3.5572707079633883
23,3.3044070443020592,3.5365727752572877
24,3.274866647358182,3.5063595600772004
25,3.243678873601342,3.47745983912472
26,3.210992595817469,3.45213736159892
27,3.1816344683683373,3.4259274015949748
28,3.1506075899309245,3.406195718024853
29,3.1247381238494745,3.3834627459320843
30,3.099354319431611,3.3654465896670827
31,3.070843889743467,3.340295776536193
32,3.0359384379809415,3.306451524863263
33,2.9999569206801144,3.280894333803201
34,2.963524112218543,3.256720669661896
35,2.9298029982087983,3.2270785213019777
36,2.8980789848520785,3.200876975361305
37,2.867450987739402,3.184565194045441
38,2.839967752810772,3.1654936734131116
39,2.812110602101193,3.139250131599008
40,2.7837688651265977,3.1184176412815785
41,2.7560813195594753,3.1067592826070665
42,2.7323610943580983,3.0788334935023314
43,2.702252216982942,3.064835816999025
44,2.6795752591724638,3.0457637199369665
45,2.6522748611144378,3.030381629235634
46,2.6238836739133684,3.0086369212669664
47,2.596655956300502,2.993224960842213
48,2.570797396108571,2.9778311182175004
49,2.544634705354393,2.961956436624004
50,2.517594582923857,2.9459402893162983
51,2.4938711747841493,2.930868107558303
52,2.4708595426776743,2.925263681492222
53,2.448449874226051,2.9126395122914372
54,2.424918381976679,2.902112790803869
55,2.4035055023708423,2.888255109263875
56,2.383280144462103,2.882197263371592
57,2.3598152876906253,2.866281498333573
58,2.339246627147691,2.8596249129701765
59,2.3185847016829477,2.8489563233741726
60,2.293774309037607,2.8371534287175044
61,2.2763791728120313,2.8260696044954066
62,2.2537507115537103,2.817082145546056
63,2.2324728583484763,2.8112378804492546
64,2.2117959215671203,2.800029390471897
65,2.1885998731927025,2.794532512310688
66,2.1692607211664257,2.7889322047495138
67,2.148078304805836,2.7779687557542374
68,2.1290986940327574,2.7732565322505773
69,2.1121879428750856,2.7678996359748678
70,2.0920633947798972,2.7592228314041587
71,2.071903865045636,2.7611697474612464
72,2.05413916141172,2.753956074453104
73,2.0354528427124023,2.743599526489837
74,2.018303744400604,2.749780887289892
75,2.0016239438881853,2.7420813725467474
76,1.9828193836574313,2.728833433947986
77,1.9660175827485096,2.7310779668107816
78,1.9467960052852389,2.724870314577964
79,1.9295796181079206,2.7237251539270586
80,1.9139765772638442,2.720088543268196
81,1.89985076687004,2.723863405517385
82,1.8812348681663158,2.7157978780158962
83,1.862748697337219,2.71652944379718
84,1.8477304856988448,2.710230372626067
85,1.8297941800411242,2.7072180916991413
86,1.8149218835911167,2.706850475399806
87,1.7987407023393656,2.7016130610357356
88,1.7834172842371816,2.703763641888582
89,1.769004633658043,2.6993964945716695
90,1.7535777826349443,2.7014103076628997
91,1.738109627856484,2.70516277063748
92,1.7240539286207046,2.7012522914741615
93,1.7056943122847674,2.7005157259446158
94,1.6917037279797003,2.7026258862974273
95,1.6762731517920515,2.7094140857583864
96,1.6651306876653358,2.6978479487986506
97,1.648980734217519,2.702705891323492
98,1.639578173432169,2.6959331307230117
99,1.620932162562503,2.7046340407198493
100,1.6051370111698842,2.7107248769027774
101,1.591374909324485,2.705748775337316
102,1.5776155165982146,2.7097624545358907
103,1.5677656448340114,2.708083561201136
104,1.551824049607611,2.711914157062643
105,1.5381365114123509,2.7169296419570212
106,1.525888341388622,2.7143689519745386
107,1.5117958965180796,2.7156396545941317
108,1.4970515166656881,2.7134412632712834
109,1.4843614202008468,2.720664078676248
110,1.4730327431159684,2.7242015514695694
111,1.46321896661686,2.7306253819525996
112,1.4507593273613524,2.7234095883268847
113,1.4341882487389608,2.7303405129959817
114,1.4227368660616975,2.7405762903801
115,1.4099711064044935,2.7400387007475904
116,1.398407691641699,2.7346576185669074
117,1.383330008651637,2.740029772625694
118,1.3721739773005877,2.7458854647125372
119,1.3622101635872563,2.7478244505854095
120,1.3517380419662732,2.7577413335631165
121,1.342409504113821,2.7585985529774857
122,1.3369002724498635,2.7527180100292092
123,1.3177568007119094,2.7624522573334254
124,1.304295148527572,2.7616170106557854
125,1.2964277005899807,2.77318552777737
126,1.2859197729247531,2.763980999274596
127,1.275123965388109,2.7754057379211554
128,1.2644514977177488,2.774179041134154
129,1.2534206205279514,2.773480972660242
130,1.2448686919634855,2.782061248891967
